rep_id,sim_seed,metric,best_model,score,fit_seed,scenario,n_claims,observed_upper,actual_ibnr,period_exposure,period_frequency,simulation_elapsed_sec,preprocessing_elapsed_sec,cox_fit_elapsed_sec,scoring_elapsed_sec,dgp_is_best
1,311,EI,COX,1.00495643137598,100001,alpha,7283,5830,1452,200,0.05,2.29999999999927,0,2.38999999999942,55.0699999999997,FALSE
2,312,EI,CL,1.01343113167813,100002,alpha,7187,5777,1409,200,0.05,1.76000000000022,0.0200000000004366,2.30999999999949,26.1799999999985,FALSE
3,313,EI,DGP,1.01999277087117,100003,alpha,7126,5749,1377,200,0.05,1.72999999999956,0.0100000000002183,2.27999999999884,25.380000000001,TRUE
1,311,R-tot,COX,0.00495643137598033,100001,alpha,7283,5830,1452,200,0.05,2.29999999999927,0,2.38999999999942,55.0699999999997,FALSE
1,311,R-cell-wise,DGP,0.23159272021566,100001,alpha,7283,5830,1452,200,0.05,2.29999999999927,0,2.38999999999942,55.0699999999997,TRUE
1,311,R-cal-wise,DGP,0.0731727462243293,100001,alpha,7283,5830,1452,200,0.05,2.29999999999927,0,2.38999999999942,55.0699999999997,TRUE
2,312,R-tot,CL,0.0134311316781292,100002,alpha,7187,5777,1409,200,0.05,1.76000000000022,0.0200000000004366,2.30999999999949,26.1799999999985,FALSE
2,312,R-cell-wise,DGP,0.248624547817255,100002,alpha,7187,5777,1409,200,0.05,1.76000000000022,0.0200000000004366,2.30999999999949,26.1799999999985,TRUE
2,312,R-cal-wise,CL,0.0832028280840983,100002,alpha,7187,5777,1409,200,0.05,1.76000000000022,0.0200000000004366,2.30999999999949,26.1799999999985,FALSE
3,313,R-tot,DGP,0.019992770871166,100003,alpha,7126,5749,1377,200,0.05,1.72999999999956,0.0100000000002183,2.27999999999884,25.380000000001,TRUE
3,313,R-cell-wise,CL,0.260518294803958,100003,alpha,7126,5749,1377,200,0.05,1.72999999999956,0.0100000000002183,2.27999999999884,25.380000000001,FALSE
3,313,R-cal-wise,COX,0.0601298797866387,100003,alpha,7126,5749,1377,200,0.05,1.72999999999956,0.0100000000002183,2.27999999999884,25.380000000001,FALSE
