model,metric,mean_score,sd_score
CL,EI,1.02159233556904,0.0549613375804907
COX,EI,1.03445648383917,0.0857686754668672
DGP,EI,1.04462958711501,0.0223655735425567
CL,R-tot,0.0408137085224063,0.0349493040931869
COX,R-tot,0.0562357223963986,0.0662831418915285
DGP,R-tot,0.0446295871150143,0.0223655735425567
CL,R-cell-wise,0.263578649416533,0.0165953904937374
COX,R-cell-wise,0.284741895427829,0.0233415777245175
DGP,R-cell-wise,0.251850115805192,0.0220478563957631
CL,R-cal-wise,0.0873059263019447,0.0247708764621904
COX,R-cal-wise,0.0965346145388553,0.0372498952224837
DGP,R-cal-wise,0.0757376883755476,0.0137275206541573
