model,metric,score,rep_id,sim_seed,fit_seed,scenario,n_claims,observed_upper,actual_ibnr,period_exposure,period_frequency,simulation_elapsed_sec,preprocessing_elapsed_sec,cox_fit_elapsed_sec,scoring_elapsed_sec
CL,EI,1.08017793445905,1,311,100001,alpha,7283,5830,1452,200,0.05,2.29999999999927,0,2.38999999999942,55.0699999999997
COX,EI,1.00495643137598,1,311,100001,alpha,7283,5830,1452,200,0.05,2.29999999999927,0,2.38999999999942,55.0699999999997
DGP,EI,1.05024058560932,1,311,100001,alpha,7283,5830,1452,200,0.05,2.29999999999927,0,2.38999999999942,55.0699999999997
CL,R-tot,0.0801779344590463,1,311,100001,alpha,7283,5830,1452,200,0.05,2.29999999999927,0,2.38999999999942,55.0699999999997
COX,R-tot,0.00495643137598033,1,311,100001,alpha,7283,5830,1452,200,0.05,2.29999999999927,0,2.38999999999942,55.0699999999997
DGP,R-tot,0.0502405856093213,1,311,100001,alpha,7283,5830,1452,200,0.05,2.29999999999927,0,2.38999999999942,55.0699999999997
CL,R-cell-wise,0.281491215372635,1,311,100001,alpha,7283,5830,1452,200,0.05,2.29999999999927,0,2.38999999999942,55.0699999999997
COX,R-cell-wise,0.272764756261143,1,311,100001,alpha,7283,5830,1452,200,0.05,2.29999999999927,0,2.38999999999942,55.0699999999997
DGP,R-cell-wise,0.23159272021566,1,311,100001,alpha,7283,5830,1452,200,0.05,2.29999999999927,0,2.38999999999942,55.0699999999997
CL,R-cal-wise,0.113872159978819,1,311,100001,alpha,7283,5830,1452,200,0.05,2.29999999999927,0,2.38999999999942,55.0699999999997
COX,R-cal-wise,0.0948982279268326,1,311,100001,alpha,7283,5830,1452,200,0.05,2.29999999999927,0,2.38999999999942,55.0699999999997
DGP,R-cal-wise,0.0731727462243293,1,311,100001,alpha,7283,5830,1452,200,0.05,2.29999999999927,0,2.38999999999942,55.0699999999997
CL,EI,1.01343113167813,2,312,100002,alpha,7187,5777,1409,200,0.05,1.76000000000022,0.0200000000004366,2.30999999999949,26.1799999999985
COX,EI,1.13108187797738,2,312,100002,alpha,7187,5777,1409,200,0.05,1.76000000000022,0.0200000000004366,2.30999999999949,26.1799999999985
DGP,EI,1.06365540486456,2,312,100002,alpha,7187,5777,1409,200,0.05,1.76000000000022,0.0200000000004366,2.30999999999949,26.1799999999985
CL,R-tot,0.0134311316781292,2,312,100002,alpha,7187,5777,1409,200,0.05,1.76000000000022,0.0200000000004366,2.30999999999949,26.1799999999985
COX,R-tot,0.131081877977379,2,312,100002,alpha,7187,5777,1409,200,0.05,1.76000000000022,0.0200000000004366,2.30999999999949,26.1799999999985
DGP,R-tot,0.0636554048645556,2,312,100002,alpha,7187,5777,1409,200,0.05,1.76000000000022,0.0200000000004366,2.30999999999949,26.1799999999985
CL,R-cell-wise,0.248726438073004,2,312,100002,alpha,7187,5777,1409,200,0.05,1.76000000000022,0.0200000000004366,2.30999999999949,26.1799999999985
COX,R-cell-wise,0.311640758019786,2,312,100002,alpha,7187,5777,1409,200,0.05,1.76000000000022,0.0200000000004366,2.30999999999949,26.1799999999985
DGP,R-cell-wise,0.248624547817255,2,312,100002,alpha,7187,5777,1409,200,0.05,1.76000000000022,0.0200000000004366,2.30999999999949,26.1799999999985
CL,R-cal-wise,0.0832028280840983,2,312,100002,alpha,7187,5777,1409,200,0.05,1.76000000000022,0.0200000000004366,2.30999999999949,26.1799999999985
COX,R-cal-wise,0.134575735903094,2,312,100002,alpha,7187,5777,1409,200,0.05,1.76000000000022,0.0200000000004366,2.30999999999949,26.1799999999985
DGP,R-cal-wise,0.0905667688841844,2,312,100002,alpha,7187,5777,1409,200,0.05,1.76000000000022,0.0200000000004366,2.30999999999949,26.1799999999985
CL,EI,0.971167940569956,3,313,100003,alpha,7126,5749,1377,200,0.05,1.72999999999956,0.0100000000002183,2.27999999999884,25.380000000001
COX,EI,0.967331142164164,3,313,100003,alpha,7126,5749,1377,200,0.05,1.72999999999956,0.0100000000002183,2.27999999999884,25.380000000001
DGP,EI,1.01999277087117,3,313,100003,alpha,7126,5749,1377,200,0.05,1.72999999999956,0.0100000000002183,2.27999999999884,25.380000000001
CL,R-tot,0.0288320594300435,3,313,100003,alpha,7126,5749,1377,200,0.05,1.72999999999956,0.0100000000002183,2.27999999999884,25.380000000001
COX,R-tot,0.0326688578358363,3,313,100003,alpha,7126,5749,1377,200,0.05,1.72999999999956,0.0100000000002183,2.27999999999884,25.380000000001
DGP,R-tot,0.019992770871166,3,313,100003,alpha,7126,5749,1377,200,0.05,1.72999999999956,0.0100000000002183,2.27999999999884,25.380000000001
CL,R-cell-wise,0.260518294803958,3,313,100003,alpha,7126,5749,1377,200,0.05,1.72999999999956,0.0100000000002183,2.27999999999884,25.380000000001
COX,R-cell-wise,0.269820172002559,3,313,100003,alpha,7126,5749,1377,200,0.05,1.72999999999956,0.0100000000002183,2.27999999999884,25.380000000001
DGP,R-cell-wise,0.275333079382662,3,313,100003,alpha,7126,5749,1377,200,0.05,1.72999999999956,0.0100000000002183,2.27999999999884,25.380000000001
CL,R-cal-wise,0.0648427908429171,3,313,100003,alpha,7126,5749,1377,200,0.05,1.72999999999956,0.0100000000002183,2.27999999999884,25.380000000001
COX,R-cal-wise,0.0601298797866387,3,313,100003,alpha,7126,5749,1377,200,0.05,1.72999999999956,0.0100000000002183,2.27999999999884,25.380000000001
DGP,R-cal-wise,0.0634735500181292,3,313,100003,alpha,7126,5749,1377,200,0.05,1.72999999999956,0.0100000000002183,2.27999999999884,25.380000000001
