rep_id,sim_seed,metric,best_model,score,fit_seed,scenario,n_claims,observed_upper,actual_ibnr,period_exposure,period_frequency,simulation_elapsed_sec,preprocessing_elapsed_sec,cox_fit_elapsed_sec,scoring_elapsed_sec,dgp_is_best
1,311,EI,COX,0.979155596689897,100001,beta,5920,4988,932,200,0.05,3.30999999999949,0.0100000000002183,2.1299999999992,54.0100000000002,FALSE
2,312,EI,COX,0.974538349688575,100002,beta,5828,4890,938,200,0.05,5.8700000000008,0.0300000000006548,8.23000000000138,53.6299999999992,FALSE
3,313,EI,COX,1.08946434462252,100003,beta,5876,4922,952,200,0.05,6.04999999999927,0.0300000000006548,8.40999999999985,31.4499999999989,FALSE
1,311,R-tot,COX,0.0208444033101031,100001,beta,5920,4988,932,200,0.05,3.30999999999949,0.0100000000002183,2.1299999999992,54.0100000000002,FALSE
1,311,R-cell-wise,DGP,0.29930067659349,100001,beta,5920,4988,932,200,0.05,3.30999999999949,0.0100000000002183,2.1299999999992,54.0100000000002,TRUE
1,311,R-cal-wise,DGP,0.0877439157978669,100001,beta,5920,4988,932,200,0.05,3.30999999999949,0.0100000000002183,2.1299999999992,54.0100000000002,TRUE
2,312,R-tot,COX,0.0254616503114246,100002,beta,5828,4890,938,200,0.05,5.8700000000008,0.0300000000006548,8.23000000000138,53.6299999999992,FALSE
2,312,R-cell-wise,CL,0.335871247238415,100002,beta,5828,4890,938,200,0.05,5.8700000000008,0.0300000000006548,8.23000000000138,53.6299999999992,FALSE
2,312,R-cal-wise,COX,0.10597552998508,100002,beta,5828,4890,938,200,0.05,5.8700000000008,0.0300000000006548,8.23000000000138,53.6299999999992,FALSE
3,313,R-tot,COX,0.0894643446225184,100003,beta,5876,4922,952,200,0.05,6.04999999999927,0.0300000000006548,8.40999999999985,31.4499999999989,FALSE
3,313,R-cell-wise,COX,0.342916199988987,100003,beta,5876,4922,952,200,0.05,6.04999999999927,0.0300000000006548,8.40999999999985,31.4499999999989,FALSE
3,313,R-cal-wise,DGP,0.137439408237021,100003,beta,5876,4922,952,200,0.05,6.04999999999927,0.0300000000006548,8.40999999999985,31.4499999999989,TRUE
