model,metric,mean_score,sd_score
CL,EI,1.16907891754869,0.0178130549170995
COX,EI,1.01438609700033,0.0650606424190673
DGP,EI,1.01956036375776,0.0810074203556151
CL,R-tot,0.169078917548686,0.0178130549170996
COX,R-tot,0.045256799414682,0.0383544004313061
DGP,R-tot,0.065197446645763,0.0275690646283949
CL,R-cell-wise,0.361698739839157,0.029820738478284
COX,R-cell-wise,0.33414465235233,0.027398374325168
DGP,R-cell-wise,0.329263316152476,0.0259671086574916
CL,R-cal-wise,0.18162895273781,0.0258207184974998
COX,R-cal-wise,0.114678112539621,0.0258435284664576
DGP,R-cal-wise,0.115716400890872,0.0254303454808195
