model,metric,score,rep_id,sim_seed,fit_seed,scenario,n_claims,observed_upper,actual_ibnr,period_exposure,period_frequency,simulation_elapsed_sec,preprocessing_elapsed_sec,cox_fit_elapsed_sec,scoring_elapsed_sec
CL,EI,1.18926041546437,1,311,100001,beta,5920,4988,932,200,0.05,3.30999999999949,0.0100000000002183,2.1299999999992,54.0100000000002
COX,EI,0.979155596689897,1,311,100001,beta,5920,4988,932,200,0.05,3.30999999999949,0.0100000000002183,2.1299999999992,54.0100000000002
DGP,EI,1.03614407051731,1,311,100001,beta,5920,4988,932,200,0.05,3.30999999999949,0.0100000000002183,2.1299999999992,54.0100000000002
CL,R-tot,0.189260415464367,1,311,100001,beta,5920,4988,932,200,0.05,3.30999999999949,0.0100000000002183,2.1299999999992,54.0100000000002
COX,R-tot,0.0208444033101031,1,311,100001,beta,5920,4988,932,200,0.05,3.30999999999949,0.0100000000002183,2.1299999999992,54.0100000000002
DGP,R-tot,0.0361440705173144,1,311,100001,beta,5920,4988,932,200,0.05,3.30999999999949,0.0100000000002183,2.1299999999992,54.0100000000002
CL,R-cell-wise,0.394335110530293,1,311,100001,beta,5920,4988,932,200,0.05,3.30999999999949,0.0100000000002183,2.1299999999992,54.0100000000002
COX,R-cell-wise,0.303434633441209,1,311,100001,beta,5920,4988,932,200,0.05,3.30999999999949,0.0100000000002183,2.1299999999992,54.0100000000002
DGP,R-cell-wise,0.29930067659349,1,311,100001,beta,5920,4988,932,200,0.05,3.30999999999949,0.0100000000002183,2.1299999999992,54.0100000000002
CL,R-cal-wise,0.207181240058878,1,311,100001,beta,5920,4988,932,200,0.05,3.30999999999949,0.0100000000002183,2.1299999999992,54.0100000000002
COX,R-cal-wise,0.0943092347993134,1,311,100001,beta,5920,4988,932,200,0.05,3.30999999999949,0.0100000000002183,2.1299999999992,54.0100000000002
DGP,R-cal-wise,0.0877439157978669,1,311,100001,beta,5920,4988,932,200,0.05,3.30999999999949,0.0100000000002183,2.1299999999992,54.0100000000002
CL,EI,1.1555479241389,2,312,100002,beta,5828,4890,938,200,0.05,5.8700000000008,0.0300000000006548,8.23000000000138,53.6299999999992
COX,EI,0.974538349688575,2,312,100002,beta,5828,4890,938,200,0.05,5.8700000000008,0.0300000000006548,8.23000000000138,53.6299999999992
DGP,EI,0.931544375667999,2,312,100002,beta,5828,4890,938,200,0.05,5.8700000000008,0.0300000000006548,8.23000000000138,53.6299999999992
CL,R-tot,0.155547924138904,2,312,100002,beta,5828,4890,938,200,0.05,5.8700000000008,0.0300000000006548,8.23000000000138,53.6299999999992
COX,R-tot,0.0254616503114246,2,312,100002,beta,5828,4890,938,200,0.05,5.8700000000008,0.0300000000006548,8.23000000000138,53.6299999999992
DGP,R-tot,0.068455624332001,2,312,100002,beta,5828,4890,938,200,0.05,5.8700000000008,0.0300000000006548,8.23000000000138,53.6299999999992
CL,R-cell-wise,0.335871247238415,2,312,100002,beta,5828,4890,938,200,0.05,5.8700000000008,0.0300000000006548,8.23000000000138,53.6299999999992
COX,R-cell-wise,0.356083123626794,2,312,100002,beta,5828,4890,938,200,0.05,5.8700000000008,0.0300000000006548,8.23000000000138,53.6299999999992
DGP,R-cell-wise,0.343259290802749,2,312,100002,beta,5828,4890,938,200,0.05,5.8700000000008,0.0300000000006548,8.23000000000138,53.6299999999992
CL,R-cal-wise,0.155547924138904,2,312,100002,beta,5828,4890,938,200,0.05,5.8700000000008,0.0300000000006548,8.23000000000138,53.6299999999992
COX,R-cal-wise,0.10597552998508,2,312,100002,beta,5828,4890,938,200,0.05,5.8700000000008,0.0300000000006548,8.23000000000138,53.6299999999992
DGP,R-cal-wise,0.121965878637729,2,312,100002,beta,5828,4890,938,200,0.05,5.8700000000008,0.0300000000006548,8.23000000000138,53.6299999999992
CL,EI,1.16242841304279,3,313,100003,beta,5876,4922,952,200,0.05,6.04999999999927,0.0300000000006548,8.40999999999985,31.4499999999989
COX,EI,1.08946434462252,3,313,100003,beta,5876,4922,952,200,0.05,6.04999999999927,0.0300000000006548,8.40999999999985,31.4499999999989
DGP,EI,1.09099264508797,3,313,100003,beta,5876,4922,952,200,0.05,6.04999999999927,0.0300000000006548,8.40999999999985,31.4499999999989
CL,R-tot,0.162428413042786,3,313,100003,beta,5876,4922,952,200,0.05,6.04999999999927,0.0300000000006548,8.40999999999985,31.4499999999989
COX,R-tot,0.0894643446225184,3,313,100003,beta,5876,4922,952,200,0.05,6.04999999999927,0.0300000000006548,8.40999999999985,31.4499999999989
DGP,R-tot,0.0909926450879736,3,313,100003,beta,5876,4922,952,200,0.05,6.04999999999927,0.0300000000006548,8.40999999999985,31.4499999999989
CL,R-cell-wise,0.354889861748764,3,313,100003,beta,5876,4922,952,200,0.05,6.04999999999927,0.0300000000006548,8.40999999999985,31.4499999999989
COX,R-cell-wise,0.342916199988987,3,313,100003,beta,5876,4922,952,200,0.05,6.04999999999927,0.0300000000006548,8.40999999999985,31.4499999999989
DGP,R-cell-wise,0.34522998106119,3,313,100003,beta,5876,4922,952,200,0.05,6.04999999999927,0.0300000000006548,8.40999999999985,31.4499999999989
CL,R-cal-wise,0.182157694015647,3,313,100003,beta,5876,4922,952,200,0.05,6.04999999999927,0.0300000000006548,8.40999999999985,31.4499999999989
COX,R-cal-wise,0.14374957283447,3,313,100003,beta,5876,4922,952,200,0.05,6.04999999999927,0.0300000000006548,8.40999999999985,31.4499999999989
DGP,R-cal-wise,0.137439408237021,3,313,100003,beta,5876,4922,952,200,0.05,6.04999999999927,0.0300000000006548,8.40999999999985,31.4499999999989
